"Story","Title","Result","Date","Stability","Duration (s)"
"Absences","Booking managing absences","SUCCESS","2021-07-07T13:20:35.1382404+01:00[Europe/London]","0.0","15.07"
"Absence Reasons","Create an absence reason","SUCCESS","2021-07-07T13:20:50.2443566+01:00[Europe/London]","0.0","8.84"
"Loan Agreements","Create an loan agreement","SUCCESS","2021-07-07T13:20:59.1274101+01:00[Europe/London]","0.0","4.24"
"Prepare Payroll","Creating a payment","SUCCESS","2021-07-07T13:21:03.3903606+01:00[Europe/London]","0.0","2.89"
"Overtime","Creating availability","SUCCESS","2021-07-07T13:21:06.3060669+01:00[Europe/London]","0.0","4.69"
"Overtime","Editing availability","SUCCESS","2021-07-07T13:21:11.0228226+01:00[Europe/London]","0.0","4.28"
"Overtime","Deleting availability","SUCCESS","2021-07-07T13:21:15.323029+01:00[Europe/London]","0.0","2.94"
"Overtime","Create an overtime reason","SUCCESS","2021-07-07T13:21:18.2916518+01:00[Europe/London]","0.0","3.34"
"Client Time slot","Editing a booked Client Time Slot","SUCCESS","2021-07-07T13:21:26.8360009+01:00[Europe/London]","0.0","4.98"
"Client Time slot","Deleting a booked Client Time Slot","SUCCESS","2021-07-07T13:21:31.8482238+01:00[Europe/London]","0.0","2.86"
"Training slot","Deleting a booked Training Slot","SUCCESS","2021-07-07T13:21:44.2447093+01:00[Europe/London]","0.0","2.84"
