"Story","Title","Result","Date","Stability","Duration (s)"
"Client Time slot","Booking a Client Time Slot","ERROR","2021-07-07T13:21:21.6567145+01:00[Europe/London]","0.0","5.06"
"Training slot","Booking a Training Slot","ERROR","2021-07-07T13:21:34.7213318+01:00[Europe/London]","0.0","4.75"
"Training slot","Editing a booked Training Slot","ERROR","2021-07-07T13:21:39.5151596+01:00[Europe/London]","0.0","4.71"
"Wow Chat slot","Booking a WOW Chat Slot","ERROR","2021-07-07T13:21:47.1234196+01:00[Europe/London]","0.0","4.78"
"Wow Chat slot","Editing a booked WOW Chat Slot","ERROR","2021-07-07T13:21:51.9559751+01:00[Europe/London]","0.0","12.44"
"Wow Chat slot","Deleting a booked WOW Chat Slot","ERROR","2021-07-07T13:22:04.4288912+01:00[Europe/London]","0.0","3.67"
"Update Employee's Details","Update Employee's Details","ERROR","2021-07-07T13:22:08.1487066+01:00[Europe/London]","0.0","2.86"
"Booking Time Off","Cancelling a booked Holiday","ERROR","2021-07-07T13:22:17.3261366+01:00[Europe/London]","0.0","7.19"
"Booking Time Off","Cancelling booked Time In Lieu","ERROR","2021-07-07T13:22:30.0886884+01:00[Europe/London]","0.0","7.36"
"Booking Time Off","Cancelling booked Appointment","ERROR","2021-07-07T13:22:43.8356458+01:00[Europe/London]","0.0","7.23"
